Location,Carpet Area,Bedroom,Bathroom,Avaliability,Condition(Resale =  0/NewSale = 1),Super Area,Year of Construction,Floor,Flooring,Furnishing,Parking,Swimming Pool,Gymnasium,Power Backup,Jogging Track,Club House,Rain Water Harvesting,Court,Class_Price,Final Price
Whitefield,1288,3,3,Ready To Move,1,1610,2019,5,Vitrified Tiles,Not Furnished,1,1,1,1,0,1,1,1,Class 16,7550000
Sarjapur Road,1021,2,2,Ready To Move,1,1171,2019,3,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,0,1,Class 11,5133000
Hennur Road,3125,4,4,Ready To Move,1,3676,2019,0,Vitrified Tiles,Semi Furnished,1,1,1,0,1,1,1,1,Class 56,27900000
Devanahalli,2559,4,4,Feb-20,1,3010,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,1,0,0,1,1,1,Class 43,21500000
Yelahanka,2767,4,4,Dec-20,1,3255,Under Construction,0,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,1,1,Class 91,45200000
Bannerghatta Road,1455,3,3,Ready To Move,1,1455,2019,4,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,1,Class 15,7202000
Vidyaranyapura,980,2,2,Mar-22,1,1154,Under Construction,4,Vitrified Tiles,Semi Furnished,1,1,1,0,1,1,0,0,Class 14,6866000
Jalahalli West,898,2,2,Ready To Move,1,958,Under Construction,9,Vitrified Tiles,Not Furnished,0,1,1,0,1,1,1,1,Class 17,8326000
Sarjapur Road,998,2,2,Sep-20,1,1386,Under Construction,9,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,1,Class 18,8700000
Kudlu Gate,1691,3,3,Ready To Move,1,1691,2019,2,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,1,Class 19,9300000
Sarjapur Road,1222,3,2,Ready To Move,0,1528,Under Construction,18,Vitrified Tiles,Not Furnished,0,1,1,0,0,1,0,1,Class 22,10700000
Sarjapur Road,942,3,3,Dec-19,1,1295,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,0,0,1,1,1,0,Class 14,7000000
Horamavu,1379,3,3,Dec-19,1,1623,Under Construction,4,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,0,1,Class 22,10800000
Hebbal,1644,3,3,Ready To Move,1,1935,2019,6,Vitrified Tiles,Semi Furnished,1,1,1,1,0,1,0,1,Class 32,15900000
Thanisandra Main Road,2672,3,3,Sep-20,1,3144,Under Construction,4,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,1,1,Class 98,48900000
Yemalur,1097,2,2,Dec-19,1,1291,Under Construction,2,Vitrified Tiles,Semi Furnished,0,1,1,0,0,1,0,1,Class 18,8843000
Whitefield,997,2,2,Sep-20,1,1173,Under Construction,6,Vitrified Tiles,Semi Furnished,1,1,1,0,1,1,1,0,Class 16,7840000
Whitefield,1440,3,3,Dec-21,1,1694,Under Construction,2,Vitrified Tiles,Semi Furnished,1,1,0,0,0,0,1,1,Class 22,11000000
Whitefield,2435,3,4,Ready To Move,0,3044,Under Construction,0,Marble Flooring,Fully Furnished,0,1,1,0,0,1,0,1,Class 76,38000000
Whitefield,995,2,2,Ready To Move,1,1170,2019,8,Vitrified Tiles,Semi Furnished,0,1,1,0,0,1,1,1,Class 21,10500000
Electronic City Phase I,1058,2,2,Dec-21,1,1245,Under Construction,5,Vitrified Tiles,Semi Furnished,1,1,1,0,1,1,1,1,Class 14,7000000
Whitefield,1871,3,3,Dec-20,1,2202,Under Construction,5,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,1,1,Class 46,23000000
Whitefield,1767,3,3,Ready To Move,0,2209,Under Construction,0,Mosaic Tiles,Semi Furnished,1,1,1,0,0,1,0,1,Class 88,44000000
International Airport Road,2040,3,3,Jul-21,1,2721,Under Construction,0,Granite,Semi Furnished,1,1,1,0,0,1,1,1,Class 38,19000000
Sarjapur Road,2407,3,3,Ready To Move,0,3009,Under Construction,0,Marbonite,Not Furnished,1,1,1,0,0,1,0,1,Class 70,34700000
Bellary Road,1530,3,3,Dec-22,1,1800,Under Construction,10,Vitrified Tiles,Semi Furnished,1,1,1,1,0,1,1,0,Class 22,10900000
Rachenahalli,950,2,2,Ready To Move,0,1088,2018,5,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,1,Class 12,6000000
Hennur Road,1684,3,3,Ready To Move,1,1981,2019,10,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,1,0,Class 22,10800000
Devanahalli,1279,3,3,Jul-21,1,1505,Under Construction,9,Granite,Semi Furnished,1,1,1,1,1,1,1,1,Class 15,7208000
Whitefield,3954.502692,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,0,0,0,0,0,0,Class 24,11732343.69
Malleshwaram,3532,4,3,Ready To Move,1,4155,2019,15,Granite,Semi Furnished,1,1,1,0,0,1,1,1,Class 104,51800000
Hebbal,1687,3,3,Ready To Move,1,1985,2019,6,Vitrified Tiles,Semi Furnished,1,1,1,1,0,0,1,1,Class 31,15100000
Bannerghatta Road,1029,2,2,Nov-21,1,1210,Under Construction,12,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,1,1,Class 17,8500000
Electronic City Phase I,935,2,2,Ready To Move,1,1100,2018,4,Vitrified Tiles,Semi Furnished,1,1,1,0,0,0,1,0,Class 12,5900000
Mahadevpura,1584,3,3,Dec-22,1,1863,Under Construction,8,Vitrified Tiles,Semi Furnished,1,1,1,0,1,1,1,0,Class 25,12300000
Whitefield,3954.502692,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,0,0,0,0,0,0,Class 24,11732343.69
